,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2247,Mantronix,King of the Beats,3Miruku2Myz4Rb40y1XpI7,0.751,0.568,6,-13.061,0,0.15,0.000195,0.872,0.0612,0.651,119.305,audio_features,spotify:track:3Miruku2Myz4Rb40y1XpI7,https://api.spotify.com/v1/tracks/3Miruku2Myz4Rb40y1XpI7,https://api.spotify.com/v1/audio-analysis/3Miruku2Myz4Rb40y1XpI7,106840,4
2248,Dock Boggs,Country Blues,2srxx9rYIYBDWYIwwcwC9T,0.571,0.203,1,-9.78,1,0.0338,0.961,0.0,0.105,0.636,110.669,audio_features,spotify:track:2srxx9rYIYBDWYIwwcwC9T,https://api.spotify.com/v1/tracks/2srxx9rYIYBDWYIwwcwC9T,https://api.spotify.com/v1/audio-analysis/2srxx9rYIYBDWYIwwcwC9T,235387,4
2249,Mungo Jerry,In the Summertime,2uzlv8PjqsVvF1DhEahyhy,0.754,0.449,4,-14.013,1,0.0615,0.724,0.0,0.162,0.973,82.751,audio_features,spotify:track:2uzlv8PjqsVvF1DhEahyhy,https://api.spotify.com/v1/tracks/2uzlv8PjqsVvF1DhEahyhy,https://api.spotify.com/v1/audio-analysis/2uzlv8PjqsVvF1DhEahyhy,211880,4
2250,Bobby McFerrin,Don't Worry Be Happy,4J41s4m5s3dbFDvdgxcsdc,0.175,0.0281,10,-37.841,0,0.0635,0.98,0.0,0.288,0.375,60.298,audio_features,spotify:track:4J41s4m5s3dbFDvdgxcsdc,https://api.spotify.com/v1/tracks/4J41s4m5s3dbFDvdgxcsdc,https://api.spotify.com/v1/audio-analysis/4J41s4m5s3dbFDvdgxcsdc,269636,4
2251,Nirvana,Where Did You Sleep Last Night?,551qy5vUgrUfEUc4dCNfht,0.573,0.59,3,-8.43,1,0.0557,0.667,0.000397,0.691,0.364,108.789,audio_features,spotify:track:551qy5vUgrUfEUc4dCNfht,https://api.spotify.com/v1/tracks/551qy5vUgrUfEUc4dCNfht,https://api.spotify.com/v1/audio-analysis/551qy5vUgrUfEUc4dCNfht,306067,3
2252,Bruce Springsteen,Glory Days,2Y90nL1ohB4sgYELDs7uNx,0.574,0.96,9,-4.906,1,0.032,0.0457,0.0,0.121,0.978,117.486,audio_features,spotify:track:2Y90nL1ohB4sgYELDs7uNx,https://api.spotify.com/v1/tracks/2Y90nL1ohB4sgYELDs7uNx,https://api.spotify.com/v1/audio-analysis/2Y90nL1ohB4sgYELDs7uNx,254733,4
2253,AC/DC,Dirty Deeds Done Dirt Cheap,2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,audio_features,spotify:track:2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/tracks/2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/audio-analysis/2d4e45fmUnguxh6yqC7gNT,231933,4
2254,Counting Crows,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,1,0.0363,0.183,3.06e-06,0.285,0.726,141.621,audio_features,spotify:track:5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/tracks/5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/audio-analysis/5DiXcVovI0FcY2s0icWWUu,272293,4
2255,The Tokens,The Lion Sleeps Tonight,2F4FNcz68howQWD4zaGJSi,0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,audio_features,spotify:track:2F4FNcz68howQWD4zaGJSi,https://api.spotify.com/v1/tracks/2F4FNcz68howQWD4zaGJSi,https://api.spotify.com/v1/audio-analysis/2F4FNcz68howQWD4zaGJSi,162093,4
2256,The Psychedelic Furs,Love My Way,4dk40nfaQav6b4ZsJ9OYUo,0.637,0.85,0,-5.054,1,0.0351,0.00487,0.00018,0.152,0.52,126.106,audio_features,spotify:track:4dk40nfaQav6b4ZsJ9OYUo,https://api.spotify.com/v1/tracks/4dk40nfaQav6b4ZsJ9OYUo,https://api.spotify.com/v1/audio-analysis/4dk40nfaQav6b4ZsJ9OYUo,213973,4
